sku,brand,model_name,colorway,retail_price,release_date,days_since_release,is_limited_edition,sentiment_score,drop_frequency,volatility_score,resale_price
NIK-54703,Nike,Jordan 4,Triple White,117,2023-12-31,791,0,0.33,8,0.12,100.65
ASI-30540,Asics,Jordan 4,Sail,113,2025-09-13,169,1,0.52,3,0.24,284.57
NEW-59399,New Balance,Jordan 1 Retro,UNC,162,2023-07-09,966,0,0.38,8,0.98,152.94
ADI-72433,Adidas,Jordan 1 Retro,Sail,120,2025-07-28,216,0,0.9,19,0.51,167.1
NEW-73853,New Balance,Jordan 4,Triple Black,142,2023-08-05,939,0,0.69,5,0.64,188.15
JOR-15306,Jordan,Air Force 1,Panda,188,2023-12-18,804,0,-0.64,16,0.02,235.6
ASI-87359,Asics,Jordan 4,Sail,152,2023-07-29,946,0,-0.11,11,0.12,200.28
YEE-24164,Yeezy,550,Sail,187,2023-10-31,852,0,-0.23,7,0.3,186.87
ASI-63085,Asics,Air Max 90,Panda,157,2024-04-26,674,0,-0.8,9,0.68,190.34
NIK-43455,Nike,Yeezy Boost 350,Mocha,120,2024-09-11,536,1,1.0,3,0.65,512.2
ASI-28416,Asics,Air Max 90,Mocha,119,2024-02-13,747,0,-0.41,5,0.9,125.45
ADI-18506,Adidas,Jordan 4,Chicago,147,2025-01-10,415,0,-0.33,8,0.31,168.51
YEE-82495,Yeezy,Air Force 1,Chicago,228,2025-07-12,232,0,0.26,6,0.3,200.06
ASI-98114,Asics,Gel-Lyte III,Sail,157,2026-02-11,18,0,-0.53,11,0.65,196.55
YEE-46896,Yeezy,Gel-Lyte III,Mocha,163,2023-10-23,860,0,-0.9,13,0.98,182.07
YEE-10932,Yeezy,Dunk Low,UNC,213,2024-01-14,777,0,-0.17,10,0.93,226.77
YEE-21051,Yeezy,Jordan 4,Triple Black,185,2024-08-31,547,0,0.98,16,0.59,280.08
YEE-11841,Yeezy,550,Mocha,178,2024-11-19,467,0,-0.25,11,0.3,252.36
JOR-62071,Jordan,Yeezy Boost 350,Triple White,180,2026-01-16,44,0,0.21,18,0.83,154.43
NEW-47630,New Balance,Gel-Lyte III,Mocha,91,2024-09-14,533,1,1.0,1,0.01,449.4
JOR-56182,Jordan,Air Force 1,Triple White,181,2025-12-16,75,1,0.07,3,0.95,509.13
YEE-73468,Yeezy,Yeezy Boost 350,Panda,237,2025-09-14,168,0,-0.57,16,0.92,292.0
ASI-27877,Asics,Gel-Lyte III,Triple Black,174,2023-06-10,995,1,-0.57,2,0.05,725.43
NIK-20249,Nike,Air Force 1,Panda,166,2024-09-19,528,0,-0.47,14,0.51,245.76
NEW-78276,New Balance,550,Bred,115,2023-11-21,831,0,0.11,9,0.87,169.32
NEW-72309,New Balance,Jordan 4,Panda,152,2024-11-16,470,0,-0.8,5,0.75,180.78
NIK-11914,Nike,Gel-Lyte III,Triple White,173,2024-08-09,569,1,-0.18999999999999995,3,0.65,700.53
YEE-33496,Yeezy,Jordan 1 Retro,Chicago,163,2023-07-22,953,0,-0.44,8,0.6,195.88
ADI-37224,Adidas,Dunk Low,Triple Black,138,2025-09-17,165,0,-0.54,5,0.33,126.84
NIK-53117,Nike,550,Triple White,115,2023-07-07,968,0,0.2,6,0.83,92.5
NEW-31819,New Balance,550,Panda,142,2025-04-17,318,0,0.47,14,0.38,162.81
YEE-86081,Yeezy,Jordan 4,Sail,183,2025-06-23,251,0,-0.61,8,0.37,204.09
ADI-23210,Adidas,Yeezy Boost 350,Triple Black,144,2025-07-17,227,0,0.84,18,0.02,187.84
NEW-99594,New Balance,Jordan 1 Retro,Triple White,130,2025-11-13,108,0,-0.76,13,0.58,80.06
ADI-67840,Adidas,550,Bred,101,2023-10-31,852,1,0.39,3,0.04,258.04
ADI-65045,Adidas,Yeezy Boost 350,Triple Black,100,2025-07-10,234,1,0.08000000000000002,3,0.45,234.9
ADI-50420,Adidas,Air Force 1,Mocha,113,2023-06-13,992,0,0.93,11,0.49,196.79
ADI-73189,Adidas,Gel-Lyte III,Triple White,105,2024-05-24,646,0,-0.07,8,0.81,118.8
YEE-50386,Yeezy,Air Force 1,Mocha,176,2024-09-30,517,0,0.68,10,0.36,253.01
YEE-71302,Yeezy,Dunk Low,Bred,151,2024-12-29,427,0,-0.2,20,0.91,131.73
ASI-18797,Asics,Gel-Lyte III,Bred,110,2024-01-13,778,0,0.58,11,0.75,125.72
YEE-68255,Yeezy,Gel-Lyte III,Bred,222,2023-11-15,837,1,0.49,1,0.15,883.22
YEE-85755,Yeezy,Jordan 1 Retro,Sail,229,2023-12-23,799,0,0.71,13,0.34,374.19
JOR-23555,Jordan,Air Max 90,Panda,212,2024-03-25,706,1,-0.24,2,0.54,550.42
JOR-50379,Jordan,Yeezy Boost 350,Mocha,228,2025-06-05,269,0,-0.9,13,0.08,198.54
YEE-57340,Yeezy,550,Triple Black,188,2023-06-18,987,1,-0.16000000000000003,3,0.79,891.79
JOR-60251,Jordan,Gel-Lyte III,Chicago,176,2023-09-10,903,0,-0.59,7,0.33,181.06
NEW-19333,New Balance,Air Max 90,Panda,93,2024-01-20,771,0,0.73,13,0.44,136.63
NEW-28442,New Balance,Air Max 90,Triple Black,163,2023-08-24,920,0,0.49,10,0.33,213.43
JOR-90501,Jordan,Jordan 1 Retro,Triple Black,161,2023-12-10,812,0,0.26,6,0.13,137.85
YEE-59944,Yeezy,Air Max 90,UNC,245,2023-06-07,998,1,0.5800000000000001,2,0.25,1194.19
NIK-55862,Nike,550,Sail,110,2023-11-22,830,1,0.28,3,0.16,496.42
NIK-86070,Nike,Air Force 1,UNC,155,2025-09-05,177,0,-0.21,6,0.41,197.12
YEE-79239,Yeezy,Jordan 4,Chicago,209,2024-01-13,778,1,1.0,3,0.29,572.78
NIK-36439,Nike,Air Max 90,Mocha,126,2024-01-28,763,0,-0.06,18,0.05,137.75
NIK-77279,Nike,550,UNC,135,2023-10-12,871,0,0.28,17,0.06,175.7
ADI-24593,Adidas,550,Triple White,142,2025-02-13,381,0,-0.19,15,0.48,197.76
ADI-76699,Adidas,550,Panda,91,2026-02-13,16,0,-0.95,8,0.84,112.46
NEW-78357,New Balance,Dunk Low,Panda,103,2025-07-10,234,1,0.5800000000000001,2,0.78,339.9
NEW-17388,New Balance,Air Force 1,Sail,146,2025-05-31,274,0,0.32,9,0.31,172.17
NEW-43063,New Balance,Air Force 1,Triple White,130,2024-05-04,666,0,0.37,7,0.67,122.57
JOR-67354,Jordan,Jordan 1 Retro,Panda,200,2024-04-21,679,0,-0.09,20,0.79,166.89
NEW-93830,New Balance,Air Force 1,UNC,177,2024-05-13,657,0,-0.31,6,0.11,176.01
ADI-28147,Adidas,550,Bred,107,2025-07-31,213,0,0.14,15,0.84,85.72
JOR-68228,Jordan,Dunk Low,Panda,176,2023-09-25,888,1,0.55,2,0.05,534.0
ASI-90888,Asics,Air Force 1,Triple White,120,2024-08-26,552,0,0.96,16,0.69,183.11
ADI-25990,Adidas,Dunk Low,Sail,160,2023-10-31,852,0,0.86,20,0.13,238.62
ADI-80692,Adidas,Yeezy Boost 350,Chicago,125,2024-12-31,425,0,0.61,15,0.74,182.59
NIK-32209,Nike,Air Max 90,Panda,141,2024-10-25,492,0,0.06,16,0.76,209.77
ADI-76281,Adidas,Gel-Lyte III,Triple White,114,2025-08-21,192,1,1.0,3,0.09,276.54
YEE-61109,Yeezy,Jordan 1 Retro,UNC,165,2023-07-06,969,0,-0.94,18,0.01,104.95
NIK-19019,Nike,Dunk Low,Bred,92,2025-05-10,295,0,-0.61,14,0.07,97.33
JOR-49773,Jordan,Air Max 90,Panda,211,2024-06-13,626,0,-0.25,19,0.6,182.73
ASI-25637,Asics,550,Mocha,101,2026-01-08,52,0,0.97,18,0.09,124.74
ASI-19205,Asics,Jordan 1 Retro,Chicago,128,2025-12-19,72,0,0.9,14,0.06,203.27
NIK-19077,Nike,Dunk Low,Chicago,138,2024-08-07,571,1,1.0,2,0.88,520.59
ASI-25662,Asics,Air Force 1,Triple Black,124,2023-09-27,886,0,-0.46,8,0.66,105.35
NIK-47799,Nike,Jordan 1 Retro,Panda,125,2024-03-16,715,0,-0.69,10,0.4,112.43
NEW-38355,New Balance,Dunk Low,UNC,106,2024-05-03,667,0,0.09,16,0.21,148.8
ADI-33011,Adidas,Yeezy Boost 350,Mocha,160,2025-07-27,217,0,0.2,17,0.07,223.08
NIK-93367,Nike,Yeezy Boost 350,UNC,90,2024-07-25,584,0,0.43,5,0.01,93.62
NIK-59823,Nike,Jordan 1 Retro,Mocha,90,2024-10-22,495,0,0.81,16,0.17,154.58
JOR-97389,Jordan,Dunk Low,Chicago,231,2024-01-18,773,0,-0.49,13,0.73,218.66
ADI-69636,Adidas,Gel-Lyte III,Triple White,99,2024-04-23,677,1,1.0,1,0.58,482.06
ASI-82380,Asics,Air Max 90,UNC,119,2024-08-31,547,0,-0.99,6,0.57,94.98
YEE-82934,Yeezy,Yeezy Boost 350,Sail,208,2024-03-27,704,1,-0.36,3,0.46,686.33
NIK-64510,Nike,Dunk Low,Mocha,150,2023-07-21,954,0,0.99,7,0.96,185.53
ASI-59853,Asics,Gel-Lyte III,UNC,162,2025-04-29,306,0,0.54,15,0.91,183.62
NEW-27549,New Balance,Air Force 1,Triple White,169,2023-10-25,858,0,-0.84,8,0.27,127.89
JOR-52980,Jordan,Air Force 1,Mocha,231,2025-12-14,77,0,-0.79,16,0.66,291.93
NEW-65980,New Balance,Air Force 1,Chicago,140,2025-09-14,168,0,-0.38,6,0.66,195.9
JOR-24450,Jordan,550,UNC,248,2023-12-29,793,0,-0.19,19,0.47,287.34
YEE-85257,Yeezy,Air Max 90,Triple White,199,2025-11-18,103,0,0.69,10,0.49,230.99
YEE-11402,Yeezy,Jordan 4,Chicago,194,2025-03-24,342,0,0.29,14,0.52,234.67
ADI-87592,Adidas,Air Max 90,Panda,138,2025-07-03,241,0,-0.21,16,0.61,204.94
JOR-75376,Jordan,Gel-Lyte III,Chicago,150,2025-05-27,278,0,-0.95,5,0.97,135.5
YEE-64274,Yeezy,550,UNC,150,2024-04-10,690,0,0.68,6,0.23,269.26
JOR-32518,Jordan,Jordan 4,Panda,193,2024-02-26,734,1,1.0,1,0.22,577.28
JOR-31597,Jordan,Gel-Lyte III,Sail,190,2023-12-25,797,0,0.61,15,0.75,289.96
YEE-93247,Yeezy,Dunk Low,Chicago,184,2024-11-07,479,0,-0.13,7,0.24,256.79
NEW-44542,New Balance,Yeezy Boost 350,Triple Black,137,2025-06-27,247,1,-0.10999999999999999,3,0.61,174.47
YEE-33391,Yeezy,Dunk Low,Triple Black,195,2025-05-11,294,0,-0.9,18,0.25,194.87
NEW-95159,New Balance,Gel-Lyte III,Triple Black,104,2024-12-12,444,0,-0.23,8,0.06,131.88
ADI-63774,Adidas,Jordan 4,Bred,132,2025-05-14,291,0,0.88,11,0.72,230.06
ADI-34939,Adidas,Air Force 1,Panda,116,2024-01-21,770,0,0.68,17,0.62,172.18
JOR-89437,Jordan,Yeezy Boost 350,Sail,243,2025-01-16,409,1,0.9,1,0.5,692.98
YEE-63179,Yeezy,Yeezy Boost 350,Triple Black,250,2025-01-21,404,0,0.17,19,0.57,201.71
YEE-41143,Yeezy,Air Force 1,Mocha,195,2025-05-19,286,0,-0.44,17,0.98,203.23
ASI-44356,Asics,Air Max 90,Mocha,131,2024-07-23,586,0,0.25,17,0.42,119.85
NIK-46625,Nike,550,Bred,127,2025-04-29,306,0,-0.42,16,0.01,145.55
ASI-58077,Asics,Yeezy Boost 350,Mocha,142,2023-08-16,928,0,-0.27,13,0.09,140.68
NIK-31848,Nike,Yeezy Boost 350,Panda,132,2024-07-13,596,0,-0.76,20,0.68,123.12
ASI-61784,Asics,550,UNC,150,2026-01-21,39,0,-0.69,13,0.37,155.44
YEE-19675,Yeezy,Air Max 90,Chicago,161,2024-09-20,527,0,0.85,13,0.58,254.6
ASI-55455,Asics,Yeezy Boost 350,Mocha,140,2024-05-07,663,0,0.85,7,0.61,161.27
YEE-43553,Yeezy,Gel-Lyte III,UNC,177,2025-05-16,289,0,-0.22,15,0.53,246.59
YEE-44463,Yeezy,Yeezy Boost 350,Panda,213,2024-12-23,433,1,0.11000000000000004,2,0.53,807.32
NIK-41828,Nike,Dunk Low,Triple Black,159,2023-12-05,817,1,0.9400000000000001,3,0.84,567.54
ADI-16063,Adidas,550,Sail,127,2025-03-13,353,0,0.92,16,0.28,142.74
YEE-43100,Yeezy,Air Max 90,Sail,160,2025-08-10,203,1,-0.49,2,0.57,268.05
NEW-39042,New Balance,Air Max 90,Triple White,141,2024-02-08,752,1,0.31000000000000005,3,0.38,463.59
YEE-88865,Yeezy,Dunk Low,Sail,170,2023-11-08,844,0,-0.53,7,0.89,210.36
ADI-26050,Adidas,Gel-Lyte III,Triple Black,153,2025-09-03,179,0,-0.57,16,0.09,134.42
ASI-14533,Asics,Gel-Lyte III,Chicago,110,2023-06-17,988,0,0.35,9,0.89,153.58
YEE-19567,Yeezy,550,Triple White,241,2025-03-27,339,1,-0.04999999999999999,3,0.25,518.85
ASI-52086,Asics,Gel-Lyte III,Triple Black,157,2025-11-01,120,0,-0.95,18,0.06,124.33
JOR-38299,Jordan,Yeezy Boost 350,UNC,236,2025-09-21,161,1,0.38,2,0.9,333.6
ASI-78651,Asics,Dunk Low,Bred,116,2024-05-25,645,0,0.82,20,0.07,193.55
ASI-97165,Asics,550,Triple White,149,2024-07-28,581,0,-0.11,8,0.62,206.88
YEE-85456,Yeezy,Air Force 1,Bred,207,2025-07-31,213,0,-0.01,13,0.03,298.96
JOR-92806,Jordan,Yeezy Boost 350,Triple White,245,2025-10-17,135,0,0.3,18,0.57,308.62
JOR-82861,Jordan,Yeezy Boost 350,Bred,213,2024-05-09,661,0,0.21,13,0.11,180.45
ASI-35482,Asics,Air Force 1,Triple Black,132,2025-12-31,60,0,0.29,6,0.12,180.38
ADI-75121,Adidas,Yeezy Boost 350,Panda,95,2024-05-03,667,0,0.08,13,0.88,134.92
ADI-56914,Adidas,550,Triple Black,117,2024-04-08,692,0,0.65,16,0.68,179.46
ADI-91061,Adidas,550,Triple Black,173,2024-01-13,778,0,-0.92,12,0.97,119.29
ADI-65397,Adidas,Air Force 1,Chicago,110,2025-03-19,347,0,0.67,6,0.53,151.08
ADI-80201,Adidas,Dunk Low,Panda,131,2023-11-08,844,0,0.27,10,0.76,135.75
JOR-11363,Jordan,Air Max 90,Chicago,205,2024-02-29,731,0,-0.19,13,0.16,195.77
ADI-44397,Adidas,Jordan 1 Retro,Sail,149,2025-04-01,334,0,0.33,20,0.26,201.65
NIK-78055,Nike,Gel-Lyte III,UNC,150,2025-07-07,237,1,0.63,1,0.97,245.09
YEE-39685,Yeezy,Air Force 1,Chicago,208,2025-06-21,253,1,-0.53,3,0.63,572.3
NIK-40098,Nike,550,Triple Black,140,2023-09-18,895,0,-0.43,8,0.01,143.01
JOR-57180,Jordan,550,Bred,157,2024-06-12,627,0,0.97,20,0.22,244.54
JOR-29821,Jordan,Dunk Low,Sail,204,2024-06-10,629,0,-0.91,15,0.31,197.46
ADI-95013,Adidas,Dunk Low,Triple Black,134,2026-02-08,21,0,-0.47,14,0.9,132.29
ASI-75442,Asics,Air Max 90,Panda,171,2025-11-25,96,1,-0.14,2,0.66,440.76
JOR-47832,Jordan,Air Max 90,Sail,201,2024-01-15,776,1,-0.39,1,0.03,485.66
NEW-66944,New Balance,550,Triple White,154,2023-06-16,989,0,0.28,15,0.81,189.43
NIK-42885,Nike,Yeezy Boost 350,Triple Black,127,2025-12-18,73,0,0.5,5,0.34,135.24
ASI-12686,Asics,Jordan 1 Retro,Panda,134,2024-07-24,585,1,-0.15000000000000002,1,0.43,479.02
NEW-14476,New Balance,Dunk Low,Triple White,99,2024-08-16,562,0,0.86,5,0.31,134.46
ADI-49732,Adidas,Gel-Lyte III,Bred,106,2024-03-28,703,0,-0.2,7,0.75,91.47
JOR-62355,Jordan,550,UNC,193,2024-11-27,459,0,-0.54,18,0.15,140.46
NEW-71600,New Balance,Gel-Lyte III,Bred,153,2024-04-23,677,0,0.37,16,0.53,222.01
JOR-37765,Jordan,Dunk Low,UNC,214,2026-01-06,54,0,0.94,5,0.95,353.84
NIK-22127,Nike,Air Force 1,Sail,90,2025-08-19,194,1,0.6000000000000001,3,0.23,304.59
NEW-97767,New Balance,Dunk Low,UNC,157,2024-12-03,453,1,0.020000000000000018,2,0.72,503.85
ADI-87468,Adidas,Air Force 1,Bred,124,2025-05-08,297,0,-0.08,19,0.75,151.72
NIK-81208,Nike,Jordan 4,Mocha,159,2024-05-11,659,0,-0.92,11,0.51,115.97
ADI-54720,Adidas,550,Sail,146,2026-01-16,44,0,0.01,5,0.82,138.93
YEE-70722,Yeezy,Yeezy Boost 350,Chicago,245,2025-02-19,375,0,0.26,12,0.76,323.96
NEW-43657,New Balance,Gel-Lyte III,Chicago,90,2024-08-15,563,0,0.47,19,0.71,124.68
JOR-71666,Jordan,Yeezy Boost 350,Triple Black,191,2025-10-13,139,0,-0.3,7,0.27,212.27
YEE-76337,Yeezy,Jordan 4,Mocha,175,2024-10-15,502,0,0.15,16,0.52,146.86
NIK-56275,Nike,550,Bred,173,2025-10-18,134,0,0.44,13,0.59,233.18
ADI-41825,Adidas,Dunk Low,Panda,134,2025-04-16,319,0,-0.04,14,0.15,153.59
NIK-99786,Nike,Dunk Low,Triple White,167,2025-05-08,297,0,-0.19,13,0.27,175.33
YEE-70700,Yeezy,Air Force 1,Triple White,188,2024-07-06,603,0,0.62,7,0.22,327.13
NIK-24087,Nike,Dunk Low,Triple White,153,2024-04-10,690,0,0.33,9,0.26,203.48
ASI-15718,Asics,Gel-Lyte III,Bred,103,2024-03-10,721,0,0.51,19,0.7,182.87
NIK-21838,Nike,Yeezy Boost 350,Triple White,177,2024-05-21,649,0,0.24,7,0.81,223.12
YEE-94803,Yeezy,550,Sail,249,2025-07-05,239,0,0.49,16,0.45,313.2
NEW-18780,New Balance,Air Max 90,Panda,155,2024-11-10,476,0,0.65,15,0.86,272.71
ASI-26571,Asics,Air Max 90,UNC,134,2025-05-25,280,0,0.75,7,0.64,176.16
JOR-29251,Jordan,Air Force 1,Bred,201,2023-09-15,898,0,-0.77,8,0.15,193.34
NIK-17829,Nike,Jordan 4,Mocha,174,2024-08-12,566,0,0.72,9,0.8,264.77
NEW-59601,New Balance,Dunk Low,Bred,93,2025-04-23,312,1,0.8200000000000001,1,0.17,219.09
NIK-69080,Nike,Yeezy Boost 350,UNC,139,2024-10-07,510,1,0.93,3,0.48,633.66
ASI-42900,Asics,Jordan 1 Retro,Bred,115,2024-09-21,526,1,0.5800000000000001,2,0.25,512.51
ADI-82810,Adidas,Jordan 1 Retro,UNC,158,2024-08-19,559,0,0.16,16,0.03,183.41
ASI-27284,Asics,550,Bred,136,2026-01-06,54,1,-0.32999999999999996,3,0.87,431.46
NIK-89993,Nike,Dunk Low,Triple White,133,2025-11-08,113,1,1.0,1,0.39,266.87
ASI-42159,Asics,Gel-Lyte III,Triple Black,147,2024-05-01,669,0,0.25,5,0.78,119.97
NEW-80989,New Balance,550,Mocha,173,2024-11-04,482,0,-0.44,18,0.91,155.48
ASI-16070,Asics,Dunk Low,Mocha,174,2024-10-13,504,0,-0.41,18,0.54,151.7
JOR-49356,Jordan,Air Force 1,Bred,216,2024-04-05,695,0,-0.42,15,0.97,211.9
JOR-15789,Jordan,Air Max 90,Triple White,199,2025-10-27,125,0,-0.38,8,0.77,180.73
JOR-24266,Jordan,Air Force 1,Bred,232,2023-11-13,839,1,0.92,2,0.39,1120.03
YEE-51445,Yeezy,Dunk Low,Panda,229,2025-12-16,75,0,0.34,16,0.55,292.31
NEW-71475,New Balance,Gel-Lyte III,Sail,115,2025-09-28,154,0,0.25,15,0.69,98.24
NEW-87239,New Balance,Dunk Low,Panda,169,2024-03-21,710,0,0.82,11,0.41,216.72
NEW-39422,New Balance,Dunk Low,Mocha,125,2023-07-14,961,1,0.41000000000000003,1,0.65,437.22
ADI-65465,Adidas,550,UNC,97,2023-06-05,1000,0,0.24,8,0.32,116.4
ADI-24863,Adidas,Air Max 90,Triple Black,176,2025-06-22,252,0,0.6,18,0.25,248.16
JOR-72623,Jordan,Jordan 1 Retro,Sail,214,2023-10-22,861,0,-0.63,9,0.02,225.3
NIK-53832,Nike,Jordan 4,Sail,126,2025-09-03,179,1,0.64,2,0.05,442.61
ASI-83250,Asics,Air Force 1,UNC,109,2023-12-22,800,0,-0.46,12,0.06,129.65
YEE-58759,Yeezy,550,UNC,187,2025-05-12,293,0,0.1,20,0.2,182.25
ASI-92094,Asics,550,Triple White,102,2024-02-11,749,1,0.8200000000000001,2,0.06,416.65
JOR-37744,Jordan,Jordan 4,Triple Black,210,2025-04-14,321,0,-0.29,6,0.72,242.02
ASI-77076,Asics,550,Triple White,103,2023-06-23,982,0,-0.04,10,0.58,83.63
JOR-43133,Jordan,Jordan 4,Chicago,207,2024-05-21,649,0,0.24,16,0.29,227.12
NEW-66577,New Balance,Dunk Low,UNC,122,2023-12-13,809,0,-0.66,6,0.95,150.15
JOR-85807,Jordan,Yeezy Boost 350,Triple White,217,2024-04-22,678,1,0.14,1,0.8,931.03
NIK-26323,Nike,550,Triple White,178,2025-06-19,255,0,-0.97,6,0.45,135.21
NEW-76416,New Balance,Yeezy Boost 350,Mocha,101,2023-07-27,948,0,-0.43,20,0.59,84.3
NIK-49614,Nike,Jordan 4,Chicago,166,2025-05-27,278,0,-0.44,15,0.74,163.12
YEE-13267,Yeezy,Air Force 1,Panda,198,2025-07-27,217,1,0.17,1,0.74,537.23
NEW-34537,New Balance,550,Triple Black,128,2023-10-23,860,1,-0.2899999999999999,1,0.26,429.43
YEE-91583,Yeezy,Yeezy Boost 350,Triple Black,217,2025-10-14,138,1,-0.27,2,0.67,700.96
NIK-14205,Nike,Jordan 4,Chicago,161,2023-07-31,944,1,0.74,3,0.94,553.9
YEE-93492,Yeezy,Dunk Low,Chicago,197,2025-08-09,204,0,0.79,7,0.86,228.84
YEE-41644,Yeezy,550,Panda,239,2024-10-11,506,1,0.06,1,0.1,1178.49
NIK-73338,Nike,Gel-Lyte III,UNC,140,2024-09-17,530,0,-0.18,14,0.01,131.8
ADI-87003,Adidas,550,Bred,108,2024-04-02,698,0,-0.48,6,0.55,113.2
ADI-91327,Adidas,Dunk Low,UNC,111,2026-01-12,48,0,-0.38,7,0.44,116.2
JOR-21740,Jordan,Dunk Low,Triple Black,240,2025-06-11,263,0,0.51,14,0.8,388.51
NEW-82139,New Balance,Yeezy Boost 350,Sail,131,2025-10-28,124,0,0.99,17,0.26,230.22
NEW-39329,New Balance,Jordan 1 Retro,UNC,135,2024-05-02,668,1,0.9400000000000001,2,0.39,673.85
ADI-42883,Adidas,Gel-Lyte III,Triple White,172,2025-09-04,178,0,0.87,15,0.68,248.0
ADI-41826,Adidas,550,Chicago,93,2024-01-18,773,0,0.89,19,0.73,167.02
NIK-62246,Nike,550,Triple White,132,2023-10-12,871,0,-0.58,9,0.61,163.16
ASI-37284,Asics,Yeezy Boost 350,Sail,155,2023-10-08,875,0,0.82,8,0.27,181.62
ASI-19819,Asics,Air Force 1,Triple Black,122,2024-06-24,615,0,0.18,9,0.17,144.55
ASI-42960,Asics,Air Max 90,Chicago,111,2025-02-10,384,1,0.93,3,0.86,435.3
NEW-98911,New Balance,Air Force 1,Panda,101,2024-08-26,552,0,-0.16,17,0.86,125.43
YEE-69456,Yeezy,Yeezy Boost 350,Chicago,209,2025-04-01,334,0,0.38,13,0.35,244.91
